Tempo	Posição	Velocidade	Volts
0	-46.64929045	0.724119347	-0.600002857
0.01	-46.64408243	0.636712108	-0.800002857
0.02	-46.63564031	0.697638807	-0.800002857
0.03	-46.63150122	0.653214088	-0.800002857
0.04	-46.62584582	0.574024197	-0.800002857
0.05	-46.62083246	0.529245928	-0.800002857
0.06	-46.61601035	0.467724258	19.19999714
0.07	-46.60848007	0.64995384	18.99999715
0.08	-46.60365454	0.543213163	18.99999715
0.09	-46.58872033	1.141554637	18.99999715
0.1	-46.56806242	1.761385999	18.99999715
0.11	-46.53479257	2.713804497	18.79999715
0.12	-46.49100081	3.827964932	18.59999716
0.13	-46.43298519	5.075485037	18.39999716
0.14	-46.35303441	6.986488488	17.99999716
0.15	-46.2579411	8.681454191	17.59999716
0.16	-46.14548545	10.30353219	16.99999716
0.17	-46.00919927	12.48766962	16.39999716
0.18	-45.85811207	14.22249189	15.79999717
0.19	-45.68575566	16.18172447	14.79999717
0.2	-45.49524119	18.08695385	13.99999717
0.21	-45.28687603	19.85963327	12.79999717
0.22	-45.06187935	21.56668205	11.59999717
0.23	-44.82296958	23.10074943	10.39999717
0.24	-44.57255094	24.32036554	9.199997174
0.25	-44.30380349	25.95565508	7.799997175
0.26	-44.02815754	26.93682214	6.199997175
0.27	-43.75552029	27.11113628	4.799997176
0.28	-43.47821461	27.47392545	3.199997176
0.29	-43.19623367	27.88896232	1.599997176
0.3	-42.9207414	27.59777551	-2.82E-06
0.31	-42.65399178	26.95147946	-1.400002824
0.32	-42.3944241	26.33119906	-3.000002824
0.33	-42.14702441	25.2532526	-4.400002825
0.34	-41.91837016	23.67623755	-5.800002825
0.35	-41.70503945	22.05942804	-7.000002826
0.36	-41.50924866	20.39751529	-8.200002827
0.37	-41.33957652	18.16189209	-9.200002828
0.38	-41.19244741	15.80724449	-10.20000283
0.39	-41.07251954	13.42832317	-11.00000283
0.4	-40.97936259	10.57365553	-11.80000283
0.41	-40.91290143	8.051313778	-12.20000283
0.42	-40.87704977	5.152982917	-12.60000283
0.43	-40.87249062	1.963411709	-12.80000283
0.44	-40.88829226	-0.312751339	-12.80000284
0.45	-40.94194681	-3.707271665	-12.80000284
0.46	-41.01558991	-6.346504437	-12.40000284
0.47	-41.11725044	-8.936264497	-12.00000284
0.48	-41.24361919	-11.42449296	-11.40000284
0.49	-41.39016773	-13.63044182	-10.80000284
0.5	-41.5645527	-16.09244492	-10.00000284
0.51	-41.75674057	-18.15492074	-9.000002844
0.52	-41.95024324	-18.82585869	-8.000002845
0.53	-42.17268543	-20.98552438	-6.800002845
0.54	-42.39167154	-21.57840353	-5.600002846
0.55	-42.61654868	-22.25609977	-4.400002846
0.56	-42.85071831	-23.06033668	-3.200002847
0.57	-43.07730983	-22.73234225	-1.800002847
0.58	-43.30708764	-22.93333423	-0.600002847
0.59	-43.5230753	-22.09161437	0.599997153
0.6	-43.73034422	-20.76624113	1.799997153
0.61	-43.93293104	-20.36436682	2.999997154
0.62	-44.11656068	-18.98649557	4.199997154
0.63	-44.28170782	-17.38533348	5.199997155
0.64	-44.42570529	-15.38117053	6.199997155
0.65	-44.55245994	-13.56873913	6.999997156
0.66	-44.65724187	-11.56155047	7.599997157
0.67	-44.73912218	-9.322386042	8.199997157
0.68	-44.7968885	-6.961841187	8.599997158
0.69	-44.83274358	-4.801246328	8.999997159
0.7	-44.84202581	-2.233665563	9.19999716
0.71	-44.83631577	-0.429221499	9.199997161
0.72	-44.79943275	2.234557035	9.199997162
0.73	-44.74149908	4.602170928	8.999997163
0.74	-44.66155172	6.787881848	8.599997164
0.75	-44.56615105	8.624871603	8.199997165
0.76	-44.45162927	10.51211671	7.599997165
0.77	-44.31918849	12.23858879	6.999997166
0.78	-44.17173153	13.93135202	6.399997167
0.79	-44.00950429	15.42846815	5.399997167
0.8	-43.83749281	16.52616665	4.599997168
0.81	-43.66400601	17.07319214	3.599997168
0.82	-43.48369584	17.72207195	2.599997168
0.83	-43.29805471	18.24455997	1.599997168
0.84	-43.11411431	18.27284735	0.599997168
0.85	-42.93291622	18.19842296	-0.400002832
0.86	-42.75210745	18.05838052	-1.400002832
0.87	-42.58106927	17.44524347	-2.400002832
0.88	-42.41710033	16.7316192	-3.400002832
0.89	-42.26458221	15.57628463	-4.200002833
0.9	-42.12001442	14.81744259	-5.000002833
0.91	-41.99364909	13.3769063	-5.800002834
0.92	-41.88031576	11.98752598	-6.600002834
0.93	-41.78308119	10.49844574	-7.200002835
0.94	-41.70478673	8.681696174	-7.800002836
0.95	-41.64719116	6.72593455	-8.200002837
0.96	-41.60485765	5.126770093	-8.600002838
0.97	-41.57866729	3.507395157	-8.800002838
0.98	-41.58278589	0.903015949	-9.000002839
0.99	-41.59613208	-0.660086462	-8.80000284
1	-41.63455531	-2.567111067	-8.800002841
1.01	-41.6907302	-4.618522293	-8.600002842
1.02	-41.76584521	-6.652460895	-8.200002843
1.03	-41.85084008	-8.121823714	-7.800002844
1.04	-41.95150683	-9.498240486	-7.400002844
1.05	-42.0618178	-10.59854926	-6.800002845
1.06	-42.19226416	-12.12221229	-6.200002846
1.07	-42.33138146	-13.161681	-5.400002846
1.08	-42.47599022	-14.12426974	-4.800002847
1.09	-42.62351206	-14.33589615	-4.000002847
1.1	-42.77900815	-15.10426682	-3.200002847
1.11	-42.9332748	-15.36408026	-2.200002848
1.12	-43.08282179	-15.23315803	-1.400002848
1.13	-43.23501548	-15.18143002	-0.600002848
1.14	-43.37993844	-14.66264587	0.199997152
1.15	-43.52246058	-14.37457731	0.999997152
1.16	-43.64941672	-13.2646474	1.799997152
1.17	-43.76869914	-12.24021132	2.599997153
1.18	-43.8822203	-11.68764829	3.199997153
1.19	-43.97761073	-10.37726022	3.799997153
1.2	-44.05838113	-8.73853187	4.399997154
1.21	-44.13056257	-7.79918759	4.799997154
1.22	-44.18045027	-5.878463875	5.199997155
1.23	-44.2197341	-4.571041855	5.599997155
1.24	-44.24444573	-3.228919348	5.799997156
1.25	-44.24693192	-1.177865071	5.999997157
1.26	-44.24291576	-0.179893356	5.999997157
1.27	-44.21841246	1.582255425	5.799997158
1.28	-44.17855148	3.142670678	5.799997158
1.29	-44.12512232	4.610793268	5.599997159
1.3	-44.05977449	5.806880289	5.199997159
1.31	-43.9802745	7.221673221	4.79999716
1.32	-43.89098002	8.246300872	4.39999716
1.33	-43.79037817	9.45404652	3.999997161
1.34	-43.68158008	10.43559331	3.399997161
1.35	-43.56534051	11.20040493	2.799997161
1.36	-43.44769733	11.51628576	2.199997162
1.37	-43.32839783	11.6769134	1.399997162
1.38	-43.20275992	12.31890724	0.799997162
1.39	-43.07949549	12.29245307	0.199997162
1.4	-42.95940711	12.10501728	-0.600002838
1.41	-42.83760093	12.11732766	-1.200002838
1.42	-42.72273081	11.7566302	-2.000002839
1.43	-42.61993304	10.65546384	-2.600002839
1.44	-42.5138363	10.59310808	-3.200002839
1.45	-42.42240397	9.668648271	-3.800002839
1.46	-42.33727933	8.808210338	-4.20000284
1.47	-42.26417581	7.836630797	-4.60000284
1.48	-42.2030866	6.728468671	-5.000002841
1.49	-42.1509381	5.645876406	-5.400002841
1.5	-42.11339938	4.510916404	-5.800002842
1.51	-42.08692557	3.19015014	-6.000002843
1.52	-42.07768091	1.736667778	-6.000002843
1.53	-42.07551233	0.692483407	-6.200002844
1.54	-42.08761884	-0.60850351	-6.200002844
1.55	-42.11097808	-1.787068341	-6.000002845
1.56	-42.15342771	-3.390051886	-6.000002846
1.57	-42.20115024	-4.40733162	-5.800002846
